"EVENT","T_GAUGE","F_GAUGE","H_GAUGE","D_GAUGE","N_GAUGE","K_GAUGE","B_GAUGE","PRD"
2007-10-01,NA,NA,NA,NA,NA,NA,NA,122.794728375
2007-10-02,104.698382747349,112.760637170135,114.51765721834,116.854439377957,116.828612126429,117.488399579667,119.288517362587,123.048522
2007-10-03,104.730111852085,112.925246120774,114.683915536467,117.016141720817,117.019352406033,117.706991412156,119.517534630362,123.2591515
2007-10-04,104.965191124554,113.308971668679,115.083284528111,117.409390622906,117.474920496199,118.238618227895,120.061424562046,123.9501585
2007-10-05,104.749574009904,112.688246206692,114.442775722931,116.787246295721,116.741066187571,117.409529150214,119.234954427642,122.93209475
2007-10-06,104.800632389693,112.984104375018,114.731708431187,117.045208357304,117.054068364163,117.733745761183,119.522438850943,123.18996825
2007-10-07,104.186919133322,111.966145846759,113.735262384572,116.143564996783,115.994718114799,116.569952140141,118.417758949163,121.97661025
2007-10-08,104.146264073992,112.139560603007,113.921198348775,116.335441876186,116.222676852842,116.832676838017,118.692040502477,122.3674845
2007-10-09,104.627943278942,112.933989675592,114.716420256155,117.07318296511,117.091999487268,117.794839874531,119.620092431566,123.42187025
2007-10-10,104.879141059679,112.985783593842,114.735778560491,117.059649142483,117.058092650658,117.768202966028,119.5877183424,123.352433
2007-10-11,104.889443861994,113.278592762272,115.054645120928,117.379402230958,117.449526110926,118.191093730759,119.997962405677,123.8302705
2007-10-12,104.997948286843,113.138147236372,114.877809342414,117.173939331119,117.197973306735,117.902659608578,119.692274529592,123.4069795
2007-10-13,104.691359186195,112.807228654335,114.576132776105,116.928853171571,116.912515855626,117.602937229395,119.432856333594,123.19473075
2007-10-14,104.495921231065,112.298871480339,114.060275906622,116.438540755766,116.331920164473,116.956022126833,118.795386324854,122.41361725
2007-10-15,104.464998314609,112.653748213377,114.429171235628,116.798829445816,116.76860073639,117.432124315929,119.262219745874,122.99032425
2007-10-16,104.634395989922,112.749535751731,114.514566995635,116.866478451219,116.841714241003,117.516625815054,119.340380260456,123.063635
2007-10-17,104.644855071292,112.750530662703,114.515616040538,116.86736152083,116.842330267126,117.517887167383,119.341821570135,123.06474625
2007-10-18,104.966390042018,113.247410682693,115.006594891097,117.318503861442,117.368864925965,118.106923095568,119.913645521366,123.730639
2007-10-19,104.69478003697,112.781714992018,114.54641769382,116.89524434931,116.87449045577,117.554274185031,119.377589556459,123.103386
2007-10-20,104.655602018735,112.76974662102,114.534322221464,116.884201316124,116.862186762117,117.539566697852,119.362371407983,123.087638
2007-10-21,104.522811282735,112.43842070516,114.191539104423,116.549796100716,116.468745961711,117.091988043927,118.911351324357,122.5139155
2007-10-22,104.45821646314,112.621860414006,114.403430765691,116.783388384008,116.747941728402,117.418796891975,119.261242826002,123.02055025
2007-10-23,104.651776976149,112.766674312972,114.532877888998,116.884798002655,116.862712743283,117.541564683469,119.366050646485,123.095766
2007-10-24,104.664568562121,112.773825029195,114.538648398393,116.888537138467,116.866740959245,117.54570501006,119.369222339359,123.0973535
2007-10-25,104.682539289341,112.809924684164,114.572677392044,116.917755815814,116.901592083264,117.582190599136,119.401845822427,123.12850025
2007-10-26,104.661395814983,112.776913097209,114.543225280569,116.894625222533,116.874116271852,117.55473842989,119.379645985347,123.11395875
2007-10-27,104.612892907299,112.697566926626,114.462951196304,116.818444767599,116.785361330864,117.453633415358,119.278871311035,122.9897845
2007-10-28,104.776257802426,112.85931764339,114.614765188577,116.949285860964,116.933389466216,117.621379805793,119.438207311511,123.16386975
2007-10-29,104.57776377777,112.733533120741,114.50635828803,116.867045661099,116.846411053621,117.520393110635,119.347552076346,123.08201825
2007-10-30,104.651314206634,112.762610868682,114.527441966223,116.878038213974,116.85493042822,117.531621282437,119.354760501372,123.07877975
2007-10-31,104.700982470267,112.858795141771,114.626023942307,116.973361067322,116.966087181129,117.659165570464,119.483431337187,123.24207
2007-11-01,104.758193045178,112.905348946539,114.665704078698,117.00132553038,116.999108162206,117.690114332667,119.504903723216,123.24260975
2007-11-02,104.739752481952,112.881397052973,114.644657970759,116.985598615398,116.979985648524,117.672375497787,119.492559780858,123.24311775
2007-11-03,104.818195434798,112.974502308405,114.737262715552,117.070815603418,117.079231977612,117.783538978242,119.599651661122,123.3592275
2007-11-04,104.737072279714,112.821784918608,114.569747683842,116.897670428549,116.87597602192,117.546433311236,119.354075090727,123.04372775
